단어,품사,빈도수,해시태그,개수
공원,Noun,2007,#대저생태공원,5709
생태,Noun,1860,#부산,1935
유채꽃,Noun,1647,#유채꽃,1450
그램,Noun,1326,#핑크뮬리,1100
부산,Noun,1237,#일상,815
핑크,Noun,1076,#벚꽃,478
스타,Noun,1071,#럽스타그램,414
사진,Noun,952,#유채꽃축제,374
벚꽃,Noun,864,#대저,357
뮬리,Noun,818,#대저유채꽃축제,353
카페,Noun,730,#봄,349
축제,Noun,625,#daily,339
오늘,Noun,571,#꽃놀이,328
구경,Noun,496,#주말,323
나들이,Noun,487,#데이트,301
가을,Noun,452,#부산여행,301
우리,Noun,447,#데일리,294
일상,Noun,437,#소통,268
데이트,Noun,431,#나들이,260
후배,Noun,420,#유채꽃밭,256
주말,Noun,406,#가을,242
사람,Noun,393,#busan,217
날씨,Noun,381,#해바라기,215
바람,Noun,375,#여행,209
후기,Noun,323,#김해,188
대저,Noun,315,#좋아요,178
엄마,Noun,306,#육아스타그램,167
꽃놀이,Noun,289,#사진,166
육아,Noun,287,#꽃스타그램,166
시간,Noun,285,#맞팔,165
시작,Noun,282,#벚꽃축제,164
인스타,Noun,271,#삼락생태공원,163
좋은,Adjective,267,#삼락공원,158
노랑,Noun,267,#꽃,155
피크닉,Noun,266,#서면,146
미세먼지,Noun,248,#꽃구경,144
아들,Noun,242,#부산카페,143
소통,Noun,235,#산책,142
일리,Noun,233,#코스모스,142
문의,Noun,232,#셀스타그램,142
휴무,Noun,230,#여행스타그램,135
가족,Noun,230,#일상스타그램,134
해바라기,Noun,208,#korea,134
사랑,Noun,207,#힐링,132
여행,Noun,202,#photo,132
오픈,Noun,201,#셀카,131
인증,Noun,200,#육아,130
만원,Noun,200,#대저생태공원핑크뮬리,129
이제,Noun,197,#selfie,129
아빠,Noun,196,#풍경,126
하루,Noun,195,#강서구,125
카톡,Noun,192,#신호동,122
보고,Noun,184,#부산데이트,120
뮤즈,Noun,182,#ootd,120
입니다,Adjective,178,#감성사진,118
산책,Noun,176,#photography,117
있어요,Adjective,175,#대저생태공원유채꽃,112
아기,Noun,168,#아지트샵문근주1등,111
맛집,Noun,165,#아들스타그램,109
부업,Noun,163,#감성,109
멘토,Noun,162,#강아지,109
고객,Noun,161,#부산맘,109
수익,Noun,153,#주말나들이,109
프로필,Noun,150,#멍스타그램,108
이용,Noun,149,#셀피,107
감성,Noun,149,#선팔,107
링크,Noun,148,#딸스타그램,106
진짜,Noun,148,#을숙도,106
잘버,Noun,146,#아들맘,104
이번,Noun,145,#갈대,103
자세한,Adjective,145,#flower,102
친구,Noun,142,#스냅사진,100
계정,Noun,142,#아지트샵문근주인스타,97
생각,Noun,141,#사진스타그램,97
힐링,Noun,134,#남포동,97
예쁜,Adjective,134,#명지국제신도시,96
다음,Noun,132,#반려견,96
이상,Noun,131,#첫줄,96
맞팔,Noun,130,#f4f,96
피드,Noun,129,#드라이브,96
영업,Noun,128,#부산대,93
신분,Noun,128,#힐스파,92
모집,Noun,127,#보수동책방골목,92
캠핑,Noun,125,#오랑대공원,92
하단,Noun,125,#허브랑야생화,92
다시,Noun,124,#대변항,92
하늘,Noun,124,#스냅,91
오빠,Noun,124,#피크닉뮤즈,90
코스,Noun,123,#을숙도생태공원,89
좋아요,Adjective,122,#육아소통,89
셀카,Noun,122,#노랑노랑,89
기분,Noun,121,#부부스타그램,87
처음,Noun,121,#먹스타그램,86
있으,Adjective,119,#다대포,86
욕심,Noun,118,#명지,86
일기,Noun,117,#피크닉,85
채팅,Noun,116,#snap,84
달성,Noun,115,#봄나들이,84
부수입,Noun,115,#사랑해,83
김해,Noun,114,#travel,83
